feature,importance
range_pct,860
log_ret,803
sarvashtakavarga,748
tithi_num,527
month,418
moon_nak_num,399
antardasha,373
ju_dignity,240
karana,236
sa_dignity,199
dow,165
moon_strength,157
moon_nak_quality,156
mahadasha,107
combust_Me,93
combust_Ve,54
combust_Sa,52
combust_Ju,44
combust_Ma,43
gandanta_Su,41
eclipse_corridor,37
graha_yuddha,37
gandanta_Mo,24
paksha,20
combust_Mo,19
