feature,mean_abs_shap
range_pct,11.816833637901718
moon_nak_quality,0.7774553946701269
log_ret,0.5255383839179468
month,0.46540412466850034
antardasha,0.4595796143973193
dow,0.2999019190554945
moon_nak_num,0.27685325614916856
tithi_num,0.26518593348962627
sa_dignity,0.2650440710203664
ju_dignity,0.2544835331138762
karana,0.2029839411083389
sarvashtakavarga,0.1875138696090577
eclipse_corridor,0.15291730611872506
moon_strength,0.14291960202929901
mahadasha,0.07600570125367136
