date,composite_score,bull_score,bear_score,is_bull,fwd_ret_3d
1996-04-22,86.12096852425188,0.0,2.7600721417069245,1,0.0124701425168348
1996-04-23,86.12096852425188,0.0,2.7600721417069245,1,0.0250615743233454
1996-04-24,70.9660816805953,0.0,5.847325925925926,0,-0.0236284341574811
1996-04-25,81.35000708899004,0.0,3.7319809983896937,0,-0.0057803111935342
1996-04-26,90.12405115986883,0.0,1.944590499194847,1,0.0125847895043914
1996-04-29,90.12405115986883,0.0,1.944590499194847,1,0.012157880313547
1996-04-30,86.2623436011336,0.0,2.7312721417069246,1,0.0045840426939571
1996-05-01,70.9660816805953,0.0,5.847325925925926,0,-0.0446059714138578
1996-05-02,76.93507136481841,0.0,4.631362640901771,0,-0.0350216004348864
1996-05-03,86.93302703542231,0.0,2.594644927536232,0,-0.0098294784712577
1996-05-06,88.86626844797411,0.0,2.2008177133655398,1,0.0021204827222636
1996-05-07,85.6752443235276,0.0,2.8508721417069247,0,-0.0133168306150251
1996-05-08,72.48662182369297,0.0,5.537571497584541,0,-0.018601757332646
1996-05-09,80.74032706993765,0.0,3.8561809983896946,1,0.0136067673075719
1996-05-10,84.39586264155372,0.0,3.1114993558776174,1,0.0340322645104309
1996-05-13,84.39586264155372,0.0,3.1114993558776174,1,0.0365360100036422
1996-05-14,84.39586264155372,0.0,3.1114993558776174,1,0.0090680087019493
1996-05-15,72.48662182369297,0.0,5.537571497584541,0,-0.0293705532518187
1996-05-16,80.74032706993765,0.0,3.8561809983896946,0,-0.0487786454379809
1996-05-17,78.91164430799633,0.0,4.228708212560387,0,-0.031331802161073
1996-05-20,77.15904882701562,0.0,4.5857354267310795,0,-0.0064433331909924
1996-05-21,77.15904882701562,0.0,4.5857354267310795,1,0.0094172158392698
1996-05-22,70.51004888051506,0.0,5.940225925925925,0,-0.0147597278821336
1996-05-23,82.45119726781093,0.0,3.507653784219002,0,-0.0124763892504656
1996-05-24,80.89102897480811,0.0,3.8254809983896942,1,0.0107527424910465
1996-05-27,77.45442841808524,0.0,4.5255626409017715,1,0.0163401567752605
1996-05-28,80.89102897480811,0.0,3.8254809983896942,1,0.0246705928680394
1996-05-29,72.06727185941617,0.0,5.6229987117552325,1,0.0109810999031286
1996-05-30,76.60028732859159,0.0,4.699562640901771,1,0.0208371334877916
1996-05-31,76.2640306353139,0.0,4.768062640901771,1,0.0210805514943819
1996-06-03,81.25098177136725,0.0,3.752153784219002,1,0.0187168492265917
1996-06-04,81.18274866134449,0.0,3.7660537842190016,1,0.0248329033453967
1996-06-05,59.44638039077854,0.0,8.194043639291465,1,0.0250269217619904
1996-06-06,72.35765247936953,0.0,5.563844283413848,1,0.0116505488727341
1996-06-07,81.18274866134449,0.0,3.7660537842190016,1,0.0264934030510662
1996-06-10,81.68001585884855,0.0,3.664753784219002,1,0.0234235192229446
1996-06-11,81.4021745619213,0.0,3.721353784219002,1,0.0453239446209256
1996-06-12,72.29272197866425,0.0,5.577071497584542,1,0.0183043029150659
1996-06-13,75.50253334955602,0.0,4.923189855072463,1,0.0115303253733039
1996-06-14,81.16347052921556,0.0,3.7699809983896944,0,-0.0237142524864971
1996-06-17,79.81451667063592,0.0,4.044780998389694,0,-0.0134957565678946
1996-06-18,82.11900125047002,0.0,3.5753265700483094,0,-0.0209722267858583
1996-06-19,64.51825475009763,0.0,7.1608347826086955,0,-0.0183605539652654
1996-06-20,83.73843312072266,0.0,3.245426570048309,0,-0.0363081069775292
1996-06-21,83.5464968184284,0.0,3.284526570048309,0,-0.0329986423525521
