condition_col,condition_val,outcome,lag,n,k,win_rate,wilson_lower,p_value
nak_5,1,is_bull,1,285,158,0.5544,0.4963,0.9516
nak_18,1,is_bull,2,287,159,0.554,0.4962,0.951774
retro_Me,1,is_high_vol,1,1436,113,0.0787,0.0659,0.956697
retro_Me,1,is_high_vol,7,1436,113,0.0787,0.0659,0.956697
gajakesari,1,is_bull,3,2511,1385,0.5516,0.5321,0.960709
is_new_moon,1,is_high_vol,3,237,18,0.0759,0.0486,1.0
nak_22,1,is_bull,3,260,143,0.55,0.4892,1.0
nak_16,1,is_bull,2,264,146,0.553,0.4927,1.0
nak_1,1,is_bull,1,272,150,0.5515,0.4921,1.0
is_full_moon,1,is_bull,8,206,114,0.5534,0.4851,1.0
nak_4,1,is_bull,1,281,155,0.5516,0.4931,1.0
