features,condition,outcome,n,k_pos,win_rate,wilson_lower,p_value,complexity,base_rate,outcome_label
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|n_asp_Ju|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|dig_Ma|digsc_Ma|ishta_Ma|kashta_Ma|asp7_Ma_Ra_s|asp7_Ra_Ma_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||2||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||neutral||3||22.5||37.5||asp7_Ma_Ra=0||asp7_Ra_Ma=0,is_strong_bull,35,7,0.2,0.1004,0.69428091,29,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|elem_Ma|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|n_asp_Ju|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||A||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||2||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0,is_strong_bull,22,7,0.3182,0.1636,0.45857795,30,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|elem_Ma|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|ix_sa_asp_mo_digsa|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||A||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||0_enemy||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0,is_strong_bull,34,10,0.2941,0.1683,0.55004722,31,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|elem_Ma|antardasha|degcat_Su|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa,malefic||Sa||ashtama_shani=0||kshu_Sa=1||A||Ve||mid||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0,is_strong_bull,50,12,0.24,0.143,1.0,14,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|ix_sa_asp_mo_digsa|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s|degcat_Me|elem_Ra|elem_Ke|asp4_Ma_Su_s|asp7_Sa_Ra_s|asp7_Ra_Sa_s|vipareeta_raja_s|asp9_Ke_Ve_s|asp_Ve_natal_mo_s|comb_Mo_s|kshob_Mo_s|asp_Ve_dom_Mo_s|asp3_Sa_Ve_s|mudi_Ve_s|deg_sext_Me_Sa_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||0_enemy||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0||mid||E||W||asp4_Ma_Su=0||asp7_Sa_Ra=0||asp7_Ra_Sa=0||vipareeta_raja=0||asp9_Ke_Ve=0||asp_Ve_natal_mo=0||comb_Mo=0||kshob_Mo=0||asp_Ve_dom_Mo=0||asp3_Sa_Ve=0||mudi_Ve=0||deg_sext_Me_Sa=0,is_strong_bull,31,7,0.2258,0.1139,1.0,45,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|ix_sa_asp_mo_digsa|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=1||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||0_enemy||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0,is_strong_bull,33,7,0.2121,0.1068,0.83969462,30,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|ix_sa_asp_mo_digsa|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s|elem_Ra|elem_Ke|asp4_Ma_Su_s|elem_Ve|asp7_Sa_Ra_s|asp7_Ra_Sa_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||0_enemy||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0||E||W||asp4_Ma_Su=0||W||asp7_Sa_Ra=0||asp7_Ra_Sa=0,is_strong_bull,55,11,0.2,0.1155,0.53008986,36,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|antardasha|degcat_Su|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||Ve||mid||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=1||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0,is_strong_bull,18,5,0.2778,0.125,0.7851242,30,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|ix_sa_asp_mo_digsa|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s|elem_Ra|elem_Ke|asp4_Ma_Su_s|asp7_Sa_Ra_s|asp7_Ra_Sa_s|vipareeta_raja_s|asp9_Ke_Ve_s|asp_Ve_natal_mo_s|comb_Mo_s|kshob_Mo_s|asp_Ve_dom_Mo_s|asp3_Sa_Ve_s|mudi_Ve_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||0_enemy||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0||E||W||asp4_Ma_Su=0||asp7_Sa_Ra=0||asp7_Ra_Sa=0||vipareeta_raja=0||asp9_Ke_Ve=0||asp_Ve_natal_mo=0||comb_Mo=0||kshob_Mo=0||asp_Ve_dom_Mo=0||asp3_Sa_Ve=0||mudi_Ve=0,is_strong_bull,91,20,0.2198,0.147,0.62521049,43,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s|elem_Ra|elem_Ke|asp4_Ma_Su_s|asp7_Sa_Ra_s|asp7_Ra_Sa_s|vipareeta_raja_s|asp9_Ke_Ve_s|asp_Ve_natal_mo_s|comb_Mo_s|kshob_Mo_s|asp_Ve_dom_Mo_s|asp3_Sa_Ve_s|mudi_Ve_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0||E||W||asp4_Ma_Su=0||asp7_Sa_Ra=0||asp7_Ra_Sa=0||vipareeta_raja=0||asp9_Ke_Ve=0||asp_Ve_natal_mo=0||comb_Mo=0||kshob_Mo=0||asp_Ve_dom_Mo=0||asp3_Sa_Ve=0||mudi_Ve=0,is_strong_bull,110,24,0.2182,0.1512,0.57743401,42,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|ix_sa_asp_mo_digsa|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||0_enemy||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0,is_strong_bull,258,47,0.1822,0.1398,0.01509198,29,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s|degcat_Me|elem_Ra|elem_Ke|asp4_Ma_Su_s|asp7_Sa_Ra_s|asp7_Ra_Sa_s|vipareeta_raja_s|asp9_Ke_Ve_s|asp_Ve_natal_mo_s|comb_Mo_s|kshob_Mo_s|asp_Ve_dom_Mo_s|asp3_Sa_Ve_s|mudi_Ve_s|deg_sext_Me_Sa_s|deg_conj_Me_Ju_s|asp_Ju_natal_mo_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0||mid||E||W||asp4_Ma_Su=0||asp7_Sa_Ra=0||asp7_Ra_Sa=0||vipareeta_raja=0||asp9_Ke_Ve=0||asp_Ve_natal_mo=0||comb_Mo=0||kshob_Mo=0||asp_Ve_dom_Mo=0||asp3_Sa_Ve=0||mudi_Ve=1||deg_sext_Me_Sa=0||deg_conj_Me_Ju=0||asp_Ju_natal_mo=0,is_strong_bull,24,6,0.25,0.12,1.0,46,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|elem_Ma|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|asp10_Sa_lord|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|dig_Ma|digsc_Ma|ishta_Ma|kashta_Ma|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|dasha_lord_dig|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||A||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||10||2||5||Su||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=1||neutral||3||22.5||37.5||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||enemy||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0,is_strong_bull,15,5,0.3333,0.1518,0.54750414,35,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|antardasha|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s,malefic||Sa||ashtama_shani=0||kshu_Sa=1||Ve||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0,is_strong_bull,554,107,0.1931,0.1624,0.00209601,16,0.2469,STRONG_BULL
ix_judom_sa_digsa|dasha_quality|asp3_Sa_lord|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|ashtama_shani_s|kshu_Sa_s|asp10_Sa_lord|dig_Ju|digsc_Ju|ishta_Ju|kashta_Ju|antardasha,1_neutral||malefic||Sa||11||3||6||ashtama_shani=1||kshu_Sa=0||Me||enemy||2||15.0||45.0||Ve,is_strong_bull,108,9,0.0833,0.0445,2.303e-05,14,0.2469,STRONG_BULL
dasha_quality|asp3_Sa_lord|ashtama_shani_s|kshu_Sa_s|dig_Ju|digsc_Ju|ishta_Ju|kashta_Ju|elem_Ma|antardasha|asp_Ju_dom_Sa_s|ix_ju_asp_mo_digju|asp3_Sa_Ra_s|asp5_Ke_Sa_s|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Ju_lord,malefic||Sa||ashtama_shani=0||kshu_Sa=1||enemy||2||15.0||45.0||A||Ve||asp_Ju_dom_Sa=1||0_enemy||asp3_Sa_Ra=0||asp5_Ke_Sa=0||enemy||2||15.0||45.0||Ju,is_strong_bull,34,5,0.1471,0.0645,0.23151276,19,0.2469,STRONG_BULL
ix_judom_sa_digsa|dasha_quality|asp3_Sa_lord|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|ashtama_shani_s|kshu_Sa_s|asp10_Sa_lord|antardasha|dig_Ju|digsc_Ju|ishta_Ju|kashta_Ju|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|ix_ju_asp_mo_digju|asp3_Sa_Ra_s|asp5_Ke_Sa_s,1_neutral||malefic||Sa||11||3||6||ashtama_shani=1||kshu_Sa=0||Me||Su||enemy||2||15.0||45.0||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=1||0_enemy||asp3_Sa_Ra=0||asp5_Ke_Sa=0,is_strong_bull,167,20,0.1198,0.0789,5.539e-05,23,0.2469,STRONG_BULL
ix_judom_sa_digsa|dasha_quality|asp3_Sa_lord|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|ashtama_shani_s|kshu_Sa_s|asp10_Sa_lord|antardasha|dig_Ju|digsc_Ju|ishta_Ju|kashta_Ju|elem_Ma|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|asp9_Ju_lord|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|dig_Ma|digsc_Ma|ishta_Ma|kashta_Ma|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s,1_neutral||malefic||Sa||11||3||6||ashtama_shani=1||kshu_Sa=0||Me||Su||enemy||2||15.0||45.0||A||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||Me||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=0||asp_Sa_dom_Su=0||neutral||3||22.5||37.5||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0,is_strong_bull,32,5,0.1562,0.0686,0.30525874,37,0.2469,STRONG_BULL
ix_judom_sa_digsa|dasha_quality|asp3_Sa_lord|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|ashtama_shani_s|kshu_Sa_s|asp10_Sa_lord|antardasha|dig_Ju|digsc_Ju|ishta_Ju|kashta_Ju|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|asp9_Ju_lord|deg_conj_Ju_Sa_s|ix_paksha_ju_dig|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|dasha_lord_dig,1_neutral||malefic||Sa||11||3||6||ashtama_shani=1||kshu_Sa=0||Me||Su||enemy||2||15.0||45.0||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||Me||deg_conj_Ju_Sa=0||SHUKLA_enemy||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=0||asp_Sa_dom_Su=0||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||enemy,is_strong_bull,47,6,0.1277,0.0598,0.06173006,34,0.2469,STRONG_BULL
ix_judom_sa_digsa|dasha_quality|asp3_Sa_lord|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|ashtama_shani_s|ix_sa_speed_dig|kshu_Sa_s|asp10_Sa_lord|antardasha|dig_Ju|digsc_Ju|ishta_Ju|kashta_Ju|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|asp9_Ju_lord|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s,1_neutral||malefic||Sa||11||3||6||ashtama_shani=1||retrograde_neutral||kshu_Sa=0||Me||Su||enemy||2||15.0||45.0||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=1||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||Me||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0,is_strong_bull,86,9,0.1047,0.056,0.00146561,28,0.2469,STRONG_BULL
ix_judom_sa_digsa|dasha_quality|asp3_Sa_lord|asp3_Sa_sign|asp7_Sa_sign|asp10_Sa_sign|ashtama_shani_s|kshu_Sa_s|asp10_Sa_lord|dig_Ju|digsc_Ju|ishta_Ju|kashta_Ju|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|ix_ju_asp_mo_digju|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|asp9_Ju_lord|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s,1_neutral||malefic||Sa||11||3||6||ashtama_shani=1||kshu_Sa=0||Me||enemy||2||15.0||45.0||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=1||0_enemy||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||Me||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=0||asp_Sa_dom_Su=0||asp7_Ma_Ra=1||asp7_Ra_Ma=1||deg_sq_Ma_Su=0,is_strong_bull,73,8,0.1096,0.0566,0.00581576,32,0.2469,STRONG_BULL
