features,condition,n,k_pos,win_rate,wilson_lower,p_value,complexity,outcome,outcome_label,source
asp9_Ju_Ve|asp4_Ma_sign,1||6,18,18,1.0,0.8241,3.403e-05,2,is_bull,BULL_DIR,method1_asp
asp9_Ju_Ve|asp7_Ma_sign,1||9,18,18,1.0,0.8241,3.403e-05,2,is_bull,BULL_DIR,method1_asp
asp9_Ju_Ve|asp8_Ma_sign,1||10,18,18,1.0,0.8241,3.403e-05,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp3_Sa_sign,1||1,25,24,0.96,0.8046,8e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp7_Sa_sign,1||5,25,24,0.96,0.8046,8e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp7_Sa_lord,1||Su,25,24,0.96,0.8046,8e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp10_Sa_sign,1||8,25,24,0.96,0.8046,8e-06,2,is_bull,BULL_DIR,method1_asp
asp5_Ra_Su|asp7_Sa_sign,1||10,71,63,0.8873,0.7931,0.0,2,is_bull,BULL_DIR,method1_asp
asp5_Ra_Su|asp3_Sa_sign,1||6,71,63,0.8873,0.7931,0.0,2,is_bull,BULL_DIR,method1_asp
asp5_Ra_Su|asp10_Sa_sign,1||1,71,63,0.8873,0.7931,0.0,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp_Me_dom_Sa,1||1,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Ke_lord,1||Sa,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Ke_lord,1||Sa,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Me_lord,1||Sa,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Me_lord,1||Sa,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp_Me_dom_Sa,1||1,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp4_Ma_Ve|asp7_Su_sign,1||9,38,35,0.9211,0.792,1.33e-06,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp9_Ra_sign,1||7,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
deg_opp_Ra_Ju|asp7_Mo_sign,1||1,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp5_Ra_sign,11||3,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp7_Ra_sign,11||5,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp7_Ra_lord,11||Su,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp9_Ra_sign,11||7,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp5_Ke_sign,11||9,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp9_Ke_sign,1||1,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp9_Ke_sign,1||1,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp7_Ke_sign,11||11,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp9_Ke_sign,11||1,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp5_Ke_sign,1||11,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Ke_sign,1||11,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Ke_sign,1||11,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp5_Ke_sign,1||9,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp9_Ra_sign,1||9,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Ra_lord,1||Su,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp5_Ra_lord,1||Su,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp5_Ra_sign,1||3,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Ra_lord,1||Su,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Ra_sign,1||5,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Me_sign,1||11,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Ra_sign,1||5,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp5_Ra_sign,1||5,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp9_Ke_sign,1||3,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Me_sign,1||11,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp9_Ra_sign,1||7,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp7_Ra_sign,1||7,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp5_Ke_sign,1||9,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp5_Ra_sign,1||3,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp7_Ke_sign,1||1,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Su_lord,1||Sa,48,43,0.8958,0.7783,4.9e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Su_lord,1||Sa,48,43,0.8958,0.7783,4.9e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp9_Ke_sign,Mo||10,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp5_Ke_sign,Mo||6,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp9_Ra_lord,Mo||Mo,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp9_Ra_sign,Mo||4,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp7_Ra_sign,Mo||2,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp7_Ke_sign,Mo||8,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_sign|asp9_Ra_sign,4||4,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_sign|asp7_Ke_sign,4||8,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_sign|asp5_Ra_sign,4||12,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_sign|asp7_Ra_sign,4||2,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp5_Ra_sign,Mo||12,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_sign|asp9_Ra_lord,4||Mo,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_sign|asp5_Ke_sign,4||6,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_sign|asp9_Ke_sign,4||10,21,20,0.9524,0.7733,8.207e-05,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_Ju|asp7_Ve_sign,1||1,13,13,1.0,0.7719,0.00045876,2,is_bull,BULL_DIR,method1_asp
deg_conj_Me_Sa|asp7_Sa_sign,1||9,13,13,1.0,0.7719,0.00045876,2,is_bull,BULL_DIR,method1_asp
deg_conj_Me_Sa|asp3_Sa_lord,1||Su,13,13,1.0,0.7719,0.00045876,2,is_bull,BULL_DIR,method1_asp
asp3_Sa_Ve|n_asp_Ma,1||5,13,13,1.0,0.7719,0.00045876,2,is_bull,BULL_DIR,method1_asp
deg_conj_Me_Sa|asp3_Sa_sign,1||5,13,13,1.0,0.7719,0.00045876,2,is_bull,BULL_DIR,method1_asp
deg_conj_Me_Sa|asp10_Sa_sign,1||12,13,13,1.0,0.7719,0.00045876,2,is_bull,BULL_DIR,method1_asp
ex_sext_Sa_Ma|asp3_Sa_sign,1||12,13,13,1.0,0.7719,0.00045876,2,is_bull,BULL_DIR,method1_asp
ex_sext_Sa_Ma|asp7_Sa_sign,1||4,13,13,1.0,0.7719,0.00045876,2,is_bull,BULL_DIR,method1_asp
ex_sext_Sa_Ma|asp7_Sa_lord,1||Mo,13,13,1.0,0.7719,0.00045876,2,is_bull,BULL_DIR,method1_asp
ex_sext_Sa_Ma|asp10_Sa_sign,1||7,13,13,1.0,0.7719,0.00045876,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_Ju|asp3_Sa_sign,1||6,27,25,0.9259,0.7663,4.371e-05,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_Ju|asp7_Sa_sign,1||10,27,25,0.9259,0.7663,4.371e-05,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_Ju|asp10_Sa_sign,1||1,27,25,0.9259,0.7663,4.371e-05,2,is_bull,BULL_DIR,method1_asp
asp4_Ma_Me|asp7_Ve_sign,1||7,33,30,0.9091,0.7643,1.17e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_sign|asp7_Ma_sign,4||11,20,19,0.95,0.7639,0.00014736,2,is_bull,BULL_DIR,method1_asp
asp7_Mo_Ra|ex_sext_Sa_Ma,1||1,20,19,0.95,0.7639,0.00014736,2,is_bull,BULL_DIR,method1_asp
asp7_Su_sign|asp4_Ma_sign,4||8,20,19,0.95,0.7639,0.00014736,2,is_bull,BULL_DIR,method1_asp
asp7_Su_sign|asp8_Ma_sign,4||12,20,19,0.95,0.7639,0.00014736,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp8_Ma_sign,Mo||12,20,19,0.95,0.7639,0.00014736,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp7_Ma_sign,Mo||11,20,19,0.95,0.7639,0.00014736,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp4_Ma_sign,Mo||8,20,19,0.95,0.7639,0.00014736,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Mo|ex_sext_Sa_Ma,1||1,20,19,0.95,0.7639,0.00014736,2,is_bull,BULL_DIR,method1_asp
asp5_Ju_Me|asp7_Ve_lord,1||Mo,55,48,0.8727,0.7598,4.1e-07,2,is_bull,BULL_DIR,method1_asp
asp5_Ju_Me|asp7_Ve_sign,1||4,55,48,0.8727,0.7598,4.1e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp9_Ju_sign,11||12,26,24,0.9231,0.7586,7.794e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp7_Ju_sign,11||10,26,24,0.9231,0.7586,7.794e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp5_Ju_sign,11||8,26,24,0.9231,0.7586,7.794e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Su_sign,1||11,26,24,0.9231,0.7586,7.794e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Su_sign,1||11,26,24,0.9231,0.7586,7.794e-05,2,is_bull,BULL_DIR,method1_asp
asp4_Ma_Su|n_asp_Ma,1||6,12,12,1.0,0.7575,0.00084581,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp7_Sa_lord,1||Su,12,12,1.0,0.7575,0.00084581,2,is_bull,BULL_DIR,method1_asp
deg_opp_Ra_Mo|ex_sext_Sa_Ma,1||1,12,12,1.0,0.7575,0.00084581,2,is_bull,BULL_DIR,method1_asp
asp4_Ma_Me|n_asp_Ma,1||6,12,12,1.0,0.7575,0.00084581,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp3_Sa_sign,1||1,12,12,1.0,0.7575,0.00084581,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp7_Sa_sign,1||5,12,12,1.0,0.7575,0.00084581,2,is_bull,BULL_DIR,method1_asp
ex_sq_Sa_Ma|asp10_Sa_sign,1||8,12,12,1.0,0.7575,0.00084581,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp5_Ke_lord,11||Ju,64,55,0.8594,0.7538,1.9e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp5_Ra_lord,11||Me,64,55,0.8594,0.7538,1.9e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Ma_Me|asp7_Ra_Mo,1||1,19,18,0.9474,0.7536,0.00026495,2,is_bull,BULL_DIR,method1_asp
asp7_Mo_Ra|asp7_Ma_Me,1||1,19,18,0.9474,0.7536,0.00026495,2,is_bull,BULL_DIR,method1_asp
asp7_Mo_Ra|asp7_Me_Ma,1||1,19,18,0.9474,0.7536,0.00026495,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ma|asp7_Ra_Mo,1||1,19,18,0.9474,0.7536,0.00026495,2,is_bull,BULL_DIR,method1_asp
asp5_Ra_Su|asp7_Me_sign,1||9,37,33,0.8919,0.7529,1.538e-05,2,is_bull,BULL_DIR,method1_asp
asp4_Ma_sign|asp5_Ju_sign,8||10,25,23,0.92,0.7503,0.00013888,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_sign|asp5_Ju_sign,12||10,25,23,0.92,0.7503,0.00013888,2,is_bull,BULL_DIR,method1_asp
asp4_Ma_sign|asp7_Ju_sign,8||12,25,23,0.92,0.7503,0.00013888,2,is_bull,BULL_DIR,method1_asp
asp4_Ma_sign|asp9_Ju_sign,8||2,25,23,0.92,0.7503,0.00013888,2,is_bull,BULL_DIR,method1_asp
asp7_Ma_sign|asp5_Ju_sign,11||10,25,23,0.92,0.7503,0.00013888,2,is_bull,BULL_DIR,method1_asp
asp7_Ma_sign|asp7_Ju_sign,11||12,25,23,0.92,0.7503,0.00013888,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_sign|asp7_Ju_sign,12||12,25,23,0.92,0.7503,0.00013888,2,is_bull,BULL_DIR,method1_asp
asp7_Ma_sign|asp9_Ju_sign,11||2,25,23,0.92,0.7503,0.00013888,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_sign|asp9_Ju_sign,12||2,25,23,0.92,0.7503,0.00013888,2,is_bull,BULL_DIR,method1_asp
asp3_Sa_Ju|deg_sq_Sa_Ma,1||1,73,62,0.8493,0.75,8e-08,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp7_Ke_sign,1||1,47,41,0.8723,0.7483,4.57e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp5_Ra_lord,1||Su,47,41,0.8723,0.7483,4.57e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp5_Ra_sign,1||5,47,41,0.8723,0.7483,4.57e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp9_Ra_sign,1||9,47,41,0.8723,0.7483,4.57e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp5_Ke_sign,1||11,47,41,0.8723,0.7483,4.57e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp9_Ke_sign,1||3,47,41,0.8723,0.7483,4.57e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp7_Ra_sign,1||7,47,41,0.8723,0.7483,4.57e-06,2,is_bull,BULL_DIR,method1_asp
ex_sext_Sa_Ma|n_asp_Ju,1||2,46,40,0.8696,0.7433,7.67e-06,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Su|asp9_Ra_lord,1||Mo,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Su|asp5_Ke_sign,1||6,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_sign|asp5_Ra_sign,5||12,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_lord|asp4_Ma_sign,Su||8,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_lord|asp5_Ra_sign,Su||12,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Su|asp7_Ke_sign,1||8,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Su|asp9_Ke_sign,1||10,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_sign|asp7_Ra_sign,5||2,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_sign|asp9_Ra_sign,5||4,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_sign|asp9_Ra_lord,5||Mo,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Su|asp9_Ra_sign,1||4,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Su_Mo|deg_opp_Ra_Ju,1||1,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_sign|asp5_Ke_sign,5||6,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_lord|asp7_Ra_sign,Su||2,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_lord|asp9_Ra_sign,Su||4,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_lord|asp9_Ra_lord,Su||Mo,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_lord|asp5_Ke_sign,Su||6,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_sign|asp7_Ke_sign,5||8,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_lord|asp7_Ke_sign,Su||8,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_sign|asp9_Ke_sign,5||10,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_lord|asp9_Ke_sign,Su||10,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Su|asp7_Ra_sign,1||2,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_sign|asp7_Ma_sign,5||11,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_lord|asp8_Ma_sign,Su||12,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Su|asp4_Ma_sign,1||8,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Su|asp7_Ma_sign,1||11,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Su|asp8_Ma_sign,1||12,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_lord|asp7_Ma_sign,Su||11,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
ex_sq_Ju_Su|asp3_Sa_sign,1||5,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
ex_sq_Ju_Su|asp3_Sa_lord,1||Su,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
ex_sq_Ju_Su|asp7_Sa_sign,1||9,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Su|asp5_Ra_sign,1||12,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
ex_sq_Ju_Su|asp10_Sa_sign,1||12,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_sign|asp4_Ma_sign,5||8,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Mo_Su|deg_opp_Ra_Ju,1||1,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
asp7_Ve_sign|asp8_Ma_sign,5||12,18,17,0.9444,0.7424,0.00047687,2,is_bull,BULL_DIR,method1_asp
ex_sext_Sa_Ma|asp7_Ma_lord,1||Me,24,22,0.9167,0.7415,0.00024716,2,is_bull,BULL_DIR,method1_asp
asp9_Ju_Ve|asp7_Su_sign,1||9,24,22,0.9167,0.7415,0.00024716,2,is_bull,BULL_DIR,method1_asp
asp5_Ra_Su|asp3_Sa_lord,1||Me,94,78,0.8298,0.7413,1e-08,2,is_bull,BULL_DIR,method1_asp
asp7_Ma_Me|deg_opp_Ra_Mo,1||1,11,11,1.0,0.7412,0.00156402,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ma|deg_opp_Ra_Mo,1||1,11,11,1.0,0.7412,0.00156402,2,is_bull,BULL_DIR,method1_asp
asp7_Me_lord|asp5_Ju_sign,Su||3,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp_Me_dom_Su|asp7_Ju_sign,1||5,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_lord|asp7_Ju_sign,Su||5,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp5_Ju_sign,5||3,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_lord|asp7_Ju_lord,Su||Su,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_lord|asp9_Ju_sign,Su||7,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp7_Ju_sign,5||5,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp_Me_dom_Su|asp7_Ju_lord,1||Su,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp_Me_dom_Su|asp9_Ju_sign,1||7,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp7_Ju_lord,5||Su,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp9_Ju_sign,5||7,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp_Me_dom_Su|asp5_Ju_sign,1||3,35,31,0.8857,0.7405,4.524e-05,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_Su|asp7_Sa_lord,1||Ju,40,35,0.875,0.7389,1.771e-05,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_Su|asp4_Ma_lord,1||Ve,40,35,0.875,0.7389,1.771e-05,2,is_bull,BULL_DIR,method1_asp
ex_conj_Ju_Sa|asp7_Ve_lord,1||Ma,29,26,0.8966,0.7361,0.0001003,2,is_bull,BULL_DIR,method1_asp
asp_Ve_dom_Ma|ex_conj_Ju_Sa,1||1,29,26,0.8966,0.7361,0.0001003,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp10_Sa_sign,1||2,34,30,0.8824,0.7338,4.489e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Sa_sign,1||11,34,30,0.8824,0.7338,4.489e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp3_Sa_sign,1||7,34,30,0.8824,0.7338,4.489e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp3_Sa_sign,1||7,34,30,0.8824,0.7338,4.489e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Sa_sign,1||11,34,30,0.8824,0.7338,4.489e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp10_Sa_sign,1||2,34,30,0.8824,0.7338,4.489e-05,2,is_bull,BULL_DIR,method1_asp
deg_conj_Me_Sa|asp4_Ma_lord,1||Ve,49,42,0.8571,0.7333,8e-06,2,is_bull,BULL_DIR,method1_asp
deg_trine_Me_Ju|asp7_Ve_lord,1||Mo,39,34,0.8718,0.7329,2.949e-05,2,is_bull,BULL_DIR,method1_asp
deg_trine_Me_Ju|asp7_Ve_sign,1||4,39,34,0.8718,0.7329,2.949e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Ma_Me|asp5_Ju_lord,1||Ma,23,21,0.913,0.732,0.00024201,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ma|asp5_Ju_lord,1||Ma,23,21,0.913,0.732,0.00024201,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_lord|asp7_Sa_sign,Ju||10,81,67,0.8272,0.7305,2.1e-07,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_lord|asp3_Sa_sign,Ju||6,81,67,0.8272,0.7305,2.1e-07,2,is_bull,BULL_DIR,method1_asp
asp8_Ma_lord|asp10_Sa_sign,Ju||1,81,67,0.8272,0.7305,2.1e-07,2,is_bull,BULL_DIR,method1_asp
deg_conj_Ju_Ma|deg_conj_Me_Sa,1||1,17,16,0.9412,0.7302,0.00085897,2,is_bull,BULL_DIR,method1_asp
asp_Su_dom_Ju|asp4_Ma_sign,1||2,48,41,0.8542,0.7283,1.309e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp7_Ma_lord,Ju||Su,48,41,0.8542,0.7283,1.309e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp8_Ma_sign,Ju||6,48,41,0.8542,0.7283,1.309e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Su_lord|asp4_Ma_sign,Ju||2,48,41,0.8542,0.7283,1.309e-05,2,is_bull,BULL_DIR,method1_asp
asp_Su_dom_Ju|asp7_Ma_sign,1||5,48,41,0.8542,0.7283,1.309e-05,2,is_bull,BULL_DIR,method1_asp
asp_Su_dom_Ju|asp8_Ma_sign,1||6,48,41,0.8542,0.7283,1.309e-05,2,is_bull,BULL_DIR,method1_asp
asp_Su_dom_Ju|asp7_Ma_lord,1||Su,48,41,0.8542,0.7283,1.309e-05,2,is_bull,BULL_DIR,method1_asp
