feature,feature_type,target,n,k_levels,H_or_chi2,p_value,effect_size,abs_effect_size,mutual_info,spearman_rho,spearman_p,pearson_r,pearson_p,level,level_mean,level_median,level_hit_rate,level_count
rvol_5d,continuous,fwd_vol_hi,7447,,,0.0,0.4661742987758261,0.4661742987758261,0.12962137725465395,0.4661742987758261,0.0,0.4398566752831783,0.0,,,,,
rvol_10d,continuous,fwd_vol_hi,7442,,,1.0095036424337165e-201,0.34077366063306785,0.34077366063306785,0.06861975839582257,0.34077366063306785,1.0095036424337165e-201,0.3457958474883932,4.818563959030503e-208,,,,,
range_pct,continuous,fwd_vol_hi,7452,,,4.368538842258879e-122,0.2672718276952238,0.2672718276952238,0.047776637007050704,0.2672718276952238,4.368538842258879e-122,0.29134841905061115,9.991644517075024e-146,,,,,
mom_rank,continuous,fwd_vol_hi,7181,,,5.046023356990473e-103,-0.25031544485827445,0.25031544485827445,0.055903435760215725,-0.25031544485827445,5.046023356990473e-103,-0.2485664403317365,1.43365328984025e-101,,,,,
rvol_20d,continuous,fwd_vol_hi,7432,,,1.2762850262836966e-92,0.23354483578154442,0.23354483578154442,0.040747038749484155,0.23354483578154442,1.2762850262836966e-92,0.25288688790101826,8.62086248355383e-109,,,,,
dist_sma50,continuous,fwd_vol_hi,7403,,,5.563099845335706e-88,-0.22808946254993903,0.22808946254993903,0.045409054164277096,-0.22808946254993903,5.563099845335706e-88,-0.22947767770889727,4.628857928459655e-89,,,,,
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,2,0.43316412859560066,,0.43316412859560066,591.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,3,0.4713584288052373,,0.4713584288052373,611.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,4,0.4268502581755594,,0.4268502581755594,581.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,5,0.30428134556574926,,0.30428134556574926,654.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,6,0.24537037037037038,,0.24537037037037038,648.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,7,0.19148936170212766,,0.19148936170212766,658.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,9,0.37138263665594856,,0.37138263665594856,622.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,10,0.46434494195688225,,0.46434494195688225,603.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,11,0.31886477462437396,,0.31886477462437396,599.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,12,0.3048973143759874,,0.3048973143759874,633.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,8,0.28594249201277955,,0.28594249201277955,626.0
month,categorical,fwd_vol_hi,7452,12.0,238.8105564995659,6.126801346692351e-45,0.17901537689913688,0.17901537689913688,0.01630741522387328,,,,,1,0.34185303514376997,,0.34185303514376997,626.0
ix_nak_regime,categorical,fwd_vol_hi,7452,81.0,207.92579861580515,2.503549941548991e-13,0.16703895562622378,0.16703895562622378,0.01412886541751982,,,,,Swati|BULL,0.3103448275862069,,0.3103448275862069,116.0
