feature,feature_type,target,n,k_levels,H_or_chi2,p_value,effect_size,abs_effect_size,mutual_info,spearman_rho,spearman_p,pearson_r,pearson_p,level,level_mean,level_median,level_hit_rate,level_count
rvol_5d,continuous,fwd_vol_hi,1175,,,1.0546808052300074e-83,0.5236226922935631,0.5236226922935631,0.1470922769873797,0.5236226922935631,1.0546808052300074e-83,0.4924212439984768,8.685596199422998e-73,,,,,
rvol_10d,continuous,fwd_vol_hi,1175,,,2.7963682323325553e-56,0.43808488210892554,0.43808488210892554,0.13393546707568227,0.43808488210892554,2.7963682323325553e-56,0.4312130707874684,2.1350913707756298e-54,,,,,
dist_sma50,continuous,fwd_vol_hi,1175,,,6.078534377205151e-43,-0.385567296676595,0.385567296676595,0.11129318628043516,-0.385567296676595,6.078534377205151e-43,-0.4007045837444094,1.5175220526241733e-46,,,,,
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,8,0.3233082706766917,,0.3233082706766917,133.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,1,0.3013698630136986,,0.3013698630136986,73.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,2,0.345679012345679,,0.345679012345679,81.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,4,0.6410256410256411,,0.6410256410256411,78.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,5,0.18867924528301888,,0.18867924528301888,106.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,6,0.0990990990990991,,0.0990990990990991,111.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,7,0.38738738738738737,,0.38738738738738737,111.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,3,0.6153846153846154,,0.6153846153846154,78.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,9,0.576,,0.576,125.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,11,0.2967032967032967,,0.2967032967032967,91.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,12,0.23170731707317074,,0.23170731707317074,82.0
month,categorical,fwd_vol_hi,1175,12.0,145.3946503939169,1.2979937609472183e-25,0.3517671502497396,0.3517671502497396,0.0649241423443386,,,,,10,0.5660377358490566,,0.5660377358490566,106.0
rvol_20d,continuous,fwd_vol_hi,1175,,,1.7940694716518423e-35,0.35137184598845,0.35137184598845,0.10954732651013055,0.35137184598845,1.7940694716518423e-35,0.3667740243739155,1.0017702105396017e-38,,,,,
atr14,continuous,fwd_vol_hi,1175,,,2.025740177093167e-30,0.3255997107082705,0.3255997107082705,0.16172345035138824,0.3255997107082705,2.025740177093167e-30,0.27363736742856853,1.263141411005887e-21,,,,,
range_pct,continuous,fwd_vol_hi,1175,,,3.0492340714398845e-29,0.31922139197279814,0.31922139197279814,0.04898495454902796,0.31922139197279814,3.0492340714398845e-29,0.34132889835594066,1.9047959574490305e-33,,,,,
ix_nak_tithi_qual,categorical,fwd_vol_hi,1175,135.0,110.713226685269,0.9296274485131306,0.3069593176804823,0.3069593176804823,0.05164359140009503,,,,,Hasta|JAYA,0.42857142857142855,,0.42857142857142855,7.0
