feature,feature_type,target,n,k_levels,H_or_chi2,p_value,effect_size,abs_effect_size,mutual_info,spearman_rho,spearman_p,pearson_r,pearson_p,level,level_mean,level_median,level_hit_rate,level_count
rvol_5d,continuous,fwd_vol_hi,3291,,,8.594556164314808e-141,0.419973686039751,0.419973686039751,0.1027323233539259,0.419973686039751,8.594556164314808e-141,0.4414997516816504,4.4503859172455456e-157,,,,,
rvol_10d,continuous,fwd_vol_hi,3291,,,1.0749318119656883e-62,0.2853442245779394,0.2853442245779394,0.04958133994453684,0.2853442245779394,1.0749318119656883e-62,0.3020132548197446,2.258179048515511e-70,,,,,
range_pct,continuous,fwd_vol_hi,3291,,,2.8429384707009373e-36,0.2167005926263621,0.2167005926263621,0.040535105576887,0.2167005926263621,2.8429384707009373e-36,0.25359075508483575,1.8416894696279335e-49,,,,,
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Revati|JAYA,0.391304347826087,,0.391304347826087,23.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Shatabhisha|NANDA,0.21739130434782608,,0.21739130434782608,23.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Shatabhisha|JAYA,0.19230769230769232,,0.19230769230769232,26.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Ashwini|NANDA,0.4,,0.4,25.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Shatabhisha|BHADRA,0.25,,0.25,16.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Rohini|RIKTA,0.34615384615384615,,0.34615384615384615,26.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Rohini|PURNA,0.17391304347826086,,0.17391304347826086,23.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Rohini|NANDA,0.36,,0.36,25.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Rohini|JAYA,0.2222222222222222,,0.2222222222222222,27.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Rohini|BHADRA,0.15384615384615385,,0.15384615384615385,26.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Revati|RIKTA,0.21428571428571427,,0.21428571428571427,28.0
ix_nak_tithi_qual,categorical,fwd_vol_hi,3291,135.0,128.5756004101397,0.6160225628699706,0.19765842905416187,0.19765842905416187,0.019849761541155288,,,,,Revati|PURNA,0.3333333333333333,,0.3333333333333333,21.0
