date,c_paksha,c_tithi,c_nak_qual,c_dasha,c_sarva,c_ju_dig,c_paksha_moon,c_eclipse,c_war,c_gandanta,c_yogi,c_jusa,coherence_direction,coherence_magnitude,fwd_vol_5d,fwd_dir_3d,corr_mag_vol_rho,corr_mag_vol_p,corr_dir_fwddir_rho,corr_dir_fwddir_p
1996-04-22,1,0,1,-1,0,1,1,0,0,0,0,1,4,4,,1.0,0.027956002206289132,0.015841027992068636,-0.026428292206898404,0.022549761939397894
1996-04-23,1,1,-1,-1,0,1,1,0,0,0,1,1,4,4,,1.0,0.027956002206289132,0.015841027992068636,-0.026428292206898404,0.022549761939397894
1996-04-24,1,1,0,-1,0,1,1,0,0,0,-1,1,3,3,,0.0,0.027956002206289132,0.015841027992068636,-0.026428292206898404,0.022549761939397894
1996-04-25,1,0,1,-1,0,1,1,0,0,0,0,1,4,4,,0.0,0.027956002206289132,0.015841027992068636,-0.026428292206898404,0.022549761939397894
1996-04-26,1,0,1,-1,0,1,1,0,0,0,0,1,4,4,0.39721047490584,1.0,0.027956002206289132,0.015841027992068636,-0.026428292206898404,0.022549761939397894
1996-04-29,1,1,-1,-1,0,1,1,0,0,0,0,1,3,3,0.3872515032579041,1.0,0.027956002206289132,0.015841027992068636,-0.026428292206898404,0.022549761939397894
1996-04-30,1,0,0,-1,0,1,1,0,0,0,1,1,4,4,0.2418348194441175,1.0,0.027956002206289132,0.015841027992068636,-0.026428292206898404,0.022549761939397894
1996-05-01,1,0,1,-1,0,1,1,0,0,0,0,1,4,4,0.1744452982082348,0.0,0.027956002206289132,0.015841027992068636,-0.026428292206898404,0.022549761939397894
1996-05-02,1,-1,1,-1,0,1,1,0,0,0,0,1,3,3,0.1974097474933204,0.0,0.027956002206289132,0.015841027992068636,-0.026428292206898404,0.022549761939397894
1996-05-03,1,0,0,-1,0,1,1,0,0,0,0,1,3,3,0.2808492472004085,0.0,0.027956002206289132,0.015841027992068636,-0.026428292206898404,0.022549761939397894
